 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 88. ,"Murphy, Louis",OAK,WR,8,16,0,0,0,30.2,411,2.4,4.4,70.4,-5,-80.3,-19.3
 89. ,"Owens, Terrell",CIN,WR,7,16,0,0,0,28.1,367,2.9,4.2,67.9,-5.2,-82.8,-19.9
 90. ,"Jenkins, Michael",MIN,WR,9,16,0,0,0,31.2,404,1.9,4.2,67.6,-5.2,-83.1,-20
 91. ,"Morgan, Josh",SF,WR,7,16,1,5,0,30.5,392,1.9,4.2,66.6,-5.3,-84.1,-20.2
 92. ,"Shorts, Cecil",JAX,WR,9,16,0,0,0,30.3,376,2.2,4.1,66.2,-5.3,-84.5,-20.3
 93. ,"Urban, Jerheme",KC,WR,6,16,0,0,0,30.1,370,2.2,4.1,65.2,-5.3,-85.4,-20.6
 94. ,"Smith, Steve",PHI,WR,7,16,0,0,0,29.9,360,2.4,4.1,65.2,-5.3,-85.5,-20.6
 95. ,"Williams, Damian",TEN,WR,6,16,1,5,0,29.2,368,2.2,4.1,64.8,-5.4,-85.9,-20.7
 96. ,"Henderson, Devery",NO,WR,11,16,1,2,0,24.7,372,2.4,4,64,-5.4,-86.6,-20.8
 97. ,"Heyward-Bey, Darrius",OAK,WR,8,16,1,8,0,28.8,374,1.8,4,63.6,-5.4,-87.1,-21
 98. ,"Hixon, Domenik",NYG,WR,7,16,0,0,0,27.1,338,2.1,3.7,59.9,-5.7,-90.8,-21.8
 99. ,"Avery, Donnie",TEN,WR,6,16,1,7,0,24.5,341,2,3.7,59.1,-5.7,-91.6,-22
 100. ,"Young, Titus",DET,WR,9,16,0,0,0,24.1,332,1.8,3.5,55.9,-5.9,-94.8,-22.8
 101. ,"Naanee, Legedu",CAR,WR,9,16,0,0,0,24.8,334,1.4,3.4,54.4,-6,-96.3,-23.2
 102. ,"Tate, Golden",SEA,WR,6,16,1,4,0,27.2,321,1.3,3.4,54.1,-6,-96.6,-23.2
 103. ,"Moss, Randy",RET,WR,,16,0,0,0,17.5,263,3,3.3,53,-6.1,-97.7,-23.5
 104. ,"Clayton, Mark",STL,WR,5,16,0,0,0,21.9,307,1.9,3.3,52.9,-6.1,-97.8,-23.5
 105. ,"Cribbs, Josh",CLE,WR,5,16,2,10,0,24,281,1.7,3.2,51.1,-6.2,-99.6,-24
 106. ,"Ogletree, Kevin",DAL,WR,5,16,0,0,0,22.8,279,1.9,3.2,51,-6.2,-99.7,-24
 107. ,"LaFell, Brandon",CAR,WR,9,16,0,0,0,22.1,291,1.8,3.2,50.9,-6.2,-99.7,-24
 108. ,"Smith, Torrey",BAL,WR,5,16,0,0,0,21.1,290,1.8,3.1,50.3,-6.3,-100.4,-24.2
 109. ,"Baldwin, Jonathan",KC,WR,6,16,0,0,0,20,272,2.2,3.1,50.2,-6.3,-100.5,-24.2
 110. ,"Cruz, Victor",NYG,WR,7,16,0,0,0,23.5,287,1.6,3.1,50.1,-6.3,-100.6,-24.2
 111. ,"Alexander, Danario",STL,WR,5,16,0,0,0,19.6,277,1.8,3,48.3,-6.4,-102.3,-24.6
 112. ,"Easley, Marcus",BUF,WR,7,16,0,0,0,20.3,272,1.8,3,47.8,-6.4,-102.9,-24.7
 113. ,"Aromashodu, Devin",MIN,WR,9,16,0,0,0,18.7,257,2,2.9,47,-6.5,-103.7,-24.9
 114. ,"Gates, Clyde",MIA,WR,5,16,0,0,0,18.2,270,1.5,2.8,45.1,-6.6,-105.6,-25.4
 115. ,"Brown, Vincent",SD,WR,6,16,0,0,0,20,257,1.3,2.7,43.3,-6.7,-107.4,-25.8
 116. ,"Doss, Tandon",BAL,WR,5,16,0,0,0,19.3,242,1.4,2.7,42.5,-6.8,-108.2,-26
 117. ,"Hagan, Derek",BUF,WR,7,16,0,0,0,19,237,1.5,2.6,42.2,-6.8,-108.5,-26.1
 118. ,"Caldwell, Andre",CIN,WR,7,16,0,0,0,19.5,249,1.1,2.6,41.3,-6.8,-109.4,-26.3
 119. ,"Cobb, Randall",GB,WR,8,16,0,0,0,16.3,202,1.5,2.3,37.4,-7.1,-113.2,-27.2
 120. ,"Cotchery, Jerricho",PIT,WR,11,16,0,0,0,18.5,212,1.1,2.3,37,-7.1,-113.7,-27.3
 121. ,"Obomanu, Ben",SEA,WR,6,16,0,0,0,18.6,227,0.8,2.3,36.8,-7.1,-113.9,-27.4
 122. ,"Schilens, Chaz",OAK,WR,8,16,0,0,0,16.8,203,1,2.2,34.7,-7.2,-116,-27.9
 123. ,"Dillard, Jarett",JAX,WR,9,16,0,0,0,16.6,202,1,2.2,34.5,-7.3,-116.1,-27.9
 124. ,"Hankerson, Leonard",WAS,WR,5,16,0,0,0,14.3,193,1.3,2.2,34.4,-7.3,-116.3,-28
 125. ,"Stroughter, Sammie",TB,WR,8,16,0,0,0,15.8,178,1.4,2.1,34.1,-7.3,-116.5,-28
 126. ,"Smith, Brad",BUF,WR,7,16,0,0,0,15.6,178,1.3,2.1,33.5,-7.3,-117.1,-28.2
 127. ,"Norwood, Jordan",CLE,WR,5,16,0,0,0,17.3,195,0.7,2,32.2,-7.4,-118.5,-28.5
 128. ,"Thomas, Demaryius",DEN,WR,6,16,0,0,0,14.2,199,0.7,1.9,30.9,-7.5,-119.7,-28.8
 129. ,"Salas, Greg",STL,WR,5,16,0,0,0,14.8,164,1,1.9,29.8,-7.6,-120.9,-29.1
 130. ,"Gonzalez, Anthony",IND,WR,11,16,0,0,0,13.5,170,0.8,1.8,28.8,-7.6,-121.9,-29.3
 131. ,"Camarillo, Greg",MIN,WR,9,16,0,0,0,15,181,0.2,1.7,26.8,-7.7,-123.8,-29.8
 132. ,"Harris, Dwayne",DAL,WR,5,16,0,0,0,12.3,150,0.8,1.6,25.6,-7.8,-125.1,-30.1
 133. ,"Weems, Eric",ATL,WR,8,16,0,0,0,13.1,136,0.9,1.6,25.3,-7.8,-125.4,-30.2
 134. ,"White, Blair",IND,WR,11,16,0,0,0,13.3,149,0.5,1.5,24.5,-7.9,-126.2,-30.4
