 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 102. ,"Jones, Greg",JAX,RB,9,16,33,104,1.3,1,5,0,1.2,19.2,-6.4,-102.9,-24.8
 103. ,"Slaton, Steve",MIA,RB,5,16,17,74,0.4,6.6,49,0.2,1.2,19.2,-6.4,-103,-24.8
 104. ,"Allen, Anthony",BAL,RB,5,16,30,127,0.5,3,19,0,1.2,19.1,-6.4,-103.1,-24.8
 105. ,"Powell, Bilal",NYJ,RB,8,16,31,129,0.6,1.8,11,0,1.2,18.5,-6.5,-103.6,-24.9
 106. ,"Ball, Lance",DEN,RB,6,16,34,136,0.2,3.3,20,0,1.2,18.4,-6.5,-103.7,-24.9
 107. ,"Ivory, Chris",NO,RB,11,16,21,102,1,2.3,10,0,1.2,18.4,-6.5,-103.7,-25
 108. ,"White, Johnny",BUF,RB,7,16,24,99,0.4,4,25,0,1.1,16.9,-6.6,-105.2,-25.3
 109. ,"Lumpkin, Kregg",TB,RB,8,16,22,87,0.6,2.2,18,0,0.9,15.2,-6.7,-107,-25.7
 110. ,"Bell, Kahlil",CHI,RB,8,16,25,98,0,4,28,0,0.9,14.6,-6.7,-107.6,-25.9
 111. ,"Leach, Vonta",BAL,RB,5,16,11,42,0.2,6.8,48,0,0.8,13.5,-6.8,-108.6,-26.1
 112. ,"Faulk, Kevin",NE,RB,7,16,14,60,0,3,28,0.3,0.8,12.3,-6.9,-109.8,-26.4
 113. ,"Conner, John",NYJ,RB,8,16,7,24,0,6,36,0.5,0.7,11.9,-6.9,-110.2,-26.5
 114. ,"Schmitt, Owen",PHI,RB,7,16,7,26,0,4.5,30,0.5,0.7,10.8,-7,-111.4,-26.8
 115. ,"Evans, Darren",IND,RB,11,16,14,51,0.8,0.5,3,0,0.6,10.4,-7,-111.8,-26.9
 116. ,"Peerman, Cedric",CIN,RB,7,16,18,73,0,2.7,17,0,0.6,10.3,-7,-111.8,-26.9
 117. ,"Robinson, Michael",SEA,RB,6,16,11,46,0,3.7,23,0,0.5,8.8,-7.1,-113.4,-27.3
 118. ,"Logan, Stefan",DET,RB,9,16,10,49,0,2,22,0,0.5,8.1,-7.1,-114,-27.4
 119. ,"Battle, Jackie",KC,RB,6,16,10,41,0,2.7,17,0,0.5,7.2,-7.2,-114.9,-27.6
 120. ,"Dwyer, Jonathan",PIT,RB,11,16,13,52,0,1.5,10,0,0.4,7,-7.2,-115.2,-27.7
 121. ,"Vickers, Lawrence",HOU,RB,11,16,7,23,0,3,20,0,0.4,5.8,-7.3,-116.3,-28
 122. ,"Sellers, Mike",WAS,RB,5,16,4,17,0,3,15,0,0.3,4.7,-7.3,-117.5,-28.3
 123. ,"Marecic, Owen",CLE,RB,5,16,5,18,0,2,15,0,0.3,4.2,-7.4,-117.9,-28.4
 124. ,"Wolfe, Garrett",a,RB,0,16,5,18,0,1,6,0,0.2,2.9,-7.5,-119.2,-28.7
 125. ,"Cartwright, Rock",OAK,RB,8,16,4,12,0,1,6,0,0.1,2.3,-7.5,-119.9,-28.8
 126. ,"Norris, Moran",SF,RB,7,16,3,12,0,1,5,0,0.1,2.2,-7.5,-119.9,-28.9
